manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test,Supply_score
יונדאי,2015,i35,2,אוטומטית,1600,בנזין,פרטית,פרטית,רעננה - כפר סבא,רעננה,51000.0,2.0,11/07/2023,11/07/2023,['רכב שמור בקנאות\nמוכרת עקב קבלת רכב חברה'],כחול כהה מטאלי,144000,,
ניסאן,2018,ניסאן מיקרה,1,אוטומטית,1200,בנזין,פרטית,פרטית,מושבים בשרון,אבן יהודה,49000.0,0.0,06/04/2022,22/05/2022,['שמורה כל התוספות'],כחול בהיר,69000,,
סוזוקי,2010,סוזוקי סוויפט,1,אוטומטית,1450,בנזין,,,רמת,רמת,22500.0,1.0,29/10/2022,29/10/2022,['רכב במצב מתוחזק ברמה גבוהה טסט עד אפריל 2023'],None,145000,,
טויוטה,2016,אוריס,1,טיפטרוניק,1600,בנזין,פרטית,פרטית,נס ציונה - רחובות,רחובות,63000.0,5.0,16/05/2024,16/05/2024,['אוטו במצב חדש!! שמור בקנאות!! נהג יחיד מטופל בחברה. ק״מ 27300 בלבד!! בחניה מקורה.\nנא לא להתקשר בשבת!!'],אפור מטאלי,27300,,
קיה,2012,פיקנטו,1,אוטומטית,1248,בנזין,,,"ראשל""צ והסביבה",ראשון לציון,37000.0,1.0,13/06/2022,13/06/2022,['שמור'],,70000,,4.0
אאודי,2015,אאודי A1,3,אוטומטית,1400,בנזין,,,פתח תקוה והסביבה,פתח תקווה,60000.0,1.0,23/06/2022,23/06/2022,"['אאודי A1 שמורה מאוד\r\nשנת 2015\r\nמנוע 1,400 טורבו\r\n5 דלתות']",,120000,,357.0
סובארו,2009,אימפרזה,3,ידנית,2400,בנזין,פרטית,פרטית,,ירכא,95000.0,16.0,04/08/2022,03/08/2023,['Sti שחור מאט ללא תאונות שמורה מאד.\nיד שלישית טסט 6/23'],שחור,125000,83,
מיצובישי,2018,ASX,1,אוטומטית,2000,בנזין,,,"ראשל""צ והסביבה",בית דגן,90000.0,,15/07/2022,15/07/2022,['רכב שמור מטופל במוסכי מיטצובישי בלבד. לא עבור תאונות.יד פרטית.'],,102000,,5.0
מרצדס,2015,220,1,אוטומטית,2200,דיזל,,,חיפה וחוף הכרמל,חיפה,70000.0,1.0,30/06/2022,30/06/2022,"[""מונית לשעבר.רכב שמור ומטופל ,הוחלף מנוע יש חשבוניות על 30,000 מהחברה.אחרי טיפול גדול הוחלף כל דבר אפשרי . &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; גג שחור,ג'נט 18,מסך גדול.\r\nאופצייה ל100% מימון.צ'קים וכרטיסי אשראי.""]",,,,
ב.מ.וו,2003,525,3,אוטומטית,2500,דיזל,,,חולון - בת ים,בת ים,45000.0,1.0,17/06/2022,17/06/2022,"['רכב מיבוא אישי, במצב מעולם.\r\nהרכב עם תוכנה - 220 כ""ס - רכב מהיר, בטיחותי\r\nסלון ומתלים ""מ ספורט""\r\nלא תמצאו רכבים כאלה בארץ']",,400000,,57.0
אופל,2017,מוקה,2,אוטומטית,1400,בנזין,,,חולון - בת ים,חולון,65000.0,0.0,08/12/2022,08/12/2022,['רכב במצב שמור ללא תאונות נוסע מעולה'],,118000,,
